2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:20:08,942 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:08,944 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:09,446 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:09,537 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:09,537 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:09,605 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:10,077 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:10,140 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:10,598 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:10,600 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:10,774 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:11,639 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:11,640 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:12,012 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:12,552 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:12,675 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:12,676 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:13,197 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:13,202 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:13,208 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:13,722 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:14,308 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:14,346 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:14,396 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:14,859 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:15,517 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:15,577 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:16,112 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:16,383 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:16,682 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:16,686 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:16,939 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:17,777 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:17,833 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:17,993 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:18,423 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:18,428 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:18,510 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:18,994 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:19,033 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:19,193 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:19,217 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:19,587 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:20,407 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:26,757 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:27,027 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:27,271 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:27,792 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:29,402 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:31,944 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:32,133 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:32,154 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:32,233 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:32,376 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:33,375 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:33,544 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
